CustID,Gender,spending 
1,1,18
2,2,54
3,2,30
4,1,78
5,2,14
6,2,40
7,2,24
8,2,33
9,2,26
10,2,35
11,2,29
12,1,47
13,2,45
14,1,49
15,2,16
16,1,26
17,1,28
18,1,43
19,1,36
20,2,20
21,2,38
22,2,24
23,2,19
24,2,20
25,1,42
26,2,14
27,2,26
28,1,42
29,1,48
30,2,18
31,2,15
32,1,14
33,2,19
34,1,35
35,2,48
36,1,17
37,2,50
38,2,37
39,1,28
40,2,27
41,2,37
42,1,23
43,1,22
44,1,47
45,1,46
46,1,33
47,1,24
48,2,13
49,1,25
50,2,13
51,1,31
52,2,20
53,1,29
54,2,46
55,2,27
56,2,28
57,2,26
58,1,26
59,2,20
60,2,28
61,2,32
62,1,39
63,2,24
64,1,29
65,1,31
66,1,14
67,2,18
68,2,26
69,1,35
70,1,48
71,1,18
72,1,26
73,1,12
74,1,39
75,1,14
76,1,26
77,2,28
78,1,26
79,2,32
80,1,44
81,2,27
82,1,45
83,2,44
